004786d0 p_glRasterPos3s
004786d4 p_glRasterPos3sv
004786d8 p_glRasterPos4d
004786dc p_glRasterPos4dv
004786e0 p_glRasterPos4f
004786e4 p_glRasterPos4fv
004786e8 p_glRasterPos4i
004786ec p_glRasterPos4iv
004786f0 p_glRasterPos4s
004786f4 p_glRasterPos4sv
004786f8 p_glReadBuffer
004786fc p_glReadPixels
00478700 p_glRectd
00478704 p_glRectdv
00478708 p_glRectf
0047870c p_glRectfv
00478710 p_glRecti
00478714 p_glRectiv
00478718 p_glRects
0047871c p_glRectsv
00478720 p_glRenderMode
00478724 p_glRotated
00478728 p_glRotatef
0047872c p_glScaled
00478730 p_glScalef
00478734 p_glScissor
00478738 p_glSelectBuffer
0047873c p_glShadeModel
00478740 p_glStencilFunc
00478744 p_glStencilMask
00478748 p_glStencilOp
0047874c p_glTexCoord1d
00478750 p_glTexCoord1dv
00478754 p_glTexCoord1f
00478758 p_glTexCoord1fv
0047875c p_glTexCoord1i
00478760 p_glTexCoord1iv
00478764 p_glTexCoord1s
00478768 p_glTexCoord1sv
0047876c p_glTexCoord2d
00478770 p_glTexCoord2dv
00478774 p_glTexCoord2f
00478778 p_glTexCoord2fv
0047877c p_glTexCoord2i
00478780 p_glTexCoord2iv
00478784 p_glTexCoord2s
00478788 p_glTexCoord2sv
0047878c p_glTexCoord3d
00478790 p_glTexCoord3dv
00478794 p_glTexCoord3f
00478798 p_glTexCoord3fv
0047879c p_glTexCoord3i
004787a0 p_glTexCoord3iv
004787a4 p_glTexCoord3s
004787a8 p_glTexCoord3sv
004787ac p_glTexCoord4d
004787b0 p_glTexCoord4dv
004787b4 p_glTexCoord4f
004787b8 p_glTexCoord4fv
004787bc p_glTexCoord4i
004787c0 p_glTexCoord4iv
004787c4 p_glTexCoord4s
004787c8 p_glTexCoord4sv
004787cc p_glTexCoordPointer
004787d0 p_glTexEnvf
004787d4 p_glTexEnvfv
004787d8 p_glTexEnvi
004787dc p_glTexEnviv
004787e0 p_glTexGend
004787e4 p_glTexGendv
004787e8 p_glTexGenf
004787ec p_glTexGenfv
004787f0 p_glTexGeni
004787f4 p_glTexGeniv
004787f8 p_glTexImage1D
004787fc p_glTexImage2D
00478800 p_glTexParameterf
00478804 p_glTexParameterfv
00478808 p_glTexParameteri
0047880c p_glTexParameteriv
00478810 p_glTexSubImage1D
00478814 p_glTexSubImage2D
00478818 p_glTranslated
0047881c p_glTranslatef
00478820 p_glVertex2d
00478824 p_glVertex2dv
00478828 p_glVertex2f
0047882c p_glVertex2fv
00478830 p_glVertex2i
00478834 p_glVertex2iv
00478838 p_glVertex2s
0047883c p_glVertex2sv
00478840 p_glVertex3d
00478844 p_glVertex3dv
00478848 p_glVertex3f
0047884c p_glVertex3fv
00478850 p_glVertex3i
00478854 p_glVertex3iv
00478858 p_glVertex3s
0047885c p_glVertex3sv
00478860 p_glVertex4d
00478864 p_glVertex4dv
00478868 p_glVertex4f
0047886c p_glVertex4fv
00478870 p_glVertex4i
00478874 p_glVertex4iv
00478878 p_glVertex4s
0047887c p_glVertex4sv
00478880 p_glVertexPointer
00478884 p_glViewport
00478888 p_gluErrorString
0047888c p_gluErrorUnicodeStringEXT
00478890 p_gluGetString
00478894 p_gluOrtho2D
00478898 p_gluPerspective
0047889c p_gluPickMatrix
004788a0 p_gluLookAt
004788a4 p_gluProject
004788a8 p_gluUnProject
004788ac p_gluScaleImage
004788b0 p_gluBuild1DMipmaps
004788b4 p_gluBuild2DMipmaps
004788b8 p_gluNewQuadric
004788bc p_gluDeleteQuadric
004788c0 p_gluQuadricNormals
004788c4 p_gluQuadricTexture
004788c8 p_gluQuadricOrientation
004788cc p_gluQuadricDrawStyle
004788d0 p_gluCylinder
004788d4 p_gluDisk
004788d8 p_gluPartialDisk
004788dc p_gluSphere
004788e0 p_gluQuadricCallback
004788e4 p_gluNewTess
004788e8 p_gluDeleteTess
004788ec p_gluTessBeginPolygon
004788f0 p_gluTessBeginContour
004788f4 p_gluTessVertex
004788f8 p_gluTessEndContour
004788fc p_gluTessEndPolygon
00478900 p_gluTessProperty
00478904 p_gluTessNormal
00478908 p_gluTessCallback
0047890c p_gluGetTessProperty
00478910 p_gluNewNurbsRenderer
00478914 p_gluDeleteNurbsRenderer
00478918 p_gluBeginSurface
0047891c p_gluBeginCurve
00478920 p_gluEndCurve
00478924 p_gluEndSurface
00478928 p_gluBeginTrim
0047892c p_gluEndTrim
00478930 p_gluPwlCurve
00478934 p_gluNurbsCurve
00478938 p_gluNurbsSurface
0047893c p_gluLoadSamplingMatrices
00478940 p_gluNurbsProperty
00478944 p_gluGetNurbsProperty
00478948 p_gluNurbsCallback
0047897c p_glMultiTexCoord2fARB
0047897c p_glMultiTexCoord2fvARB
00478980 p_glMultiTexCoord2iARB
00478984 p_glMultiTexCoord2ivARB
00478988 p_glMultiTexCoord2sARB
0047898c p_glMultiTexCoord2svARB
00478990 p_glMultiTexCoord3dARB
00478994 p_glMultiTexCoord3dvARB
00478998 p_glMultiTexCoord3fARB
0047899c p_glMultiTexCoord3fvARB
004789a0 p_glMultiTexCoord3iARB
004789a4 p_glMultiTexCoord3ivARB
004789a8 p_glMultiTexCoord3sARB
004789ac p_glMultiTexCoord3svARB
004789b0 p_glMultiTexCoord4dARB
004789b4 p_glMultiTexCoord4dvARB
004789b8 p_glMultiTexCoord4fARB
004789c0 p_glMultiTexCoord4fvARB
004789c0 p_glMultiTexCoord4iARB
004789c4 p_glMultiTexCoord4ivARB
004789c8 p_glMultiTexCoord4sARB
004789cc p_glMultiTexCoord4svARB
004789d0 p_glLockArraysEXT
004789d4 p_glUnlockArraysEXT
004789d8 p_wglSwapIntervalEXT
004789dc p_wglGetSwapIntervalEXT
004789e0 p_glPointParameterfEXT
004789e8 p_glPointParameterfvEXT
00486680 p_grDrawPoint
00483f5c p_grDrawLine
00483f68 p_grDrawTriangle
00485fe0 p_grVertexLayout
00483968 p_grDrawVertexArray
004874b0 p_grDrawVertexArrayContiguous
004800d4 p_grAADrawTriangle
004864b8 p_grBufferClear
004800d0 p_grBufferSwap
00480c6c p_grRenderBuffer
00486fac p_grErrorSetCallback
00480110 p_grFinish
00486fb4 p_grFlush
00486688 p_grSstWinOpen
00481d40 p_grSstWinClose
00481d2c p_grSelectContext
00483f3c p_grSstOrigin
004864b4 p_grSstSelect
0048341c p_grAlphaBlendFunction
00483418 p_grAlphaCombine
00485fdc p_grAlphaControlsITRGBLighting
00480e6c p_grAlphaTestFunction
00480ca0 p_grAlphaTestReferenceValue
004800c4 p_grChromakeyMode
0047fff8 p_grChromakeyValue
004800c8 p_grClipWindow
0048667c p_grColorCombine
00487544 p_grColorMask
